Pathway	SH1	SH2	SH3	SH4	SH5	SH6	SH7	SH8	SH9	SH10	SH11	SH12	SH13	SH14	SH15	SH16	SH17	SH18	SH19	SH20	SH21	SH22	SH23	SH24	SH25	SH26	SH27	SH28	SH29	SH30	YK31	YK32	YK33	YK34	YK35	YK36	YK37	YK38	YK39	YK40	YK41	YK42	YK43	YK44	YK45	YK46	YK47	YK48	YK49	YK50	YK51	YK52	YK53	YK54	YK55	YK56	YK57	YK58	YK59	YK60
FERMENTATION-PWY: mixed acid fermentation|unclassified	0.00384355	0.00617516	0.00457211	0.00612801	0.00169788	0.00516587	0.00493407	0.00604291	0.00451557	0.00291026	0.00495962	0.00413834	0.00357947	0.00412154	0.00355776	0.00457291	0.00590353	0.00269534	0.0039875	0.00278511	0.00440122	0.00475746	0.00485636	0.00428384	0.00492073	0.0043496	0.00546956	0.00525723	0.00389901	0.00569019	0.00423977	0.00388849	0.0057109	0.0051287	0.0043432	0.00425967	0.00441953	0.005189	0.00558717	0.00512165	0.0045571	0.00443468	0.00495882	0.00551483	0.0056055	0.00379602	0.00380414	0.0043607	0.00687335	0.00527864	0.00506248	0.00431377	0.00503923	0.006842	0.00566704	0.00564356	0.00654695	0.0048148	0.00521037	0.00640949
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	1.25231e-4	0	0	0	5.22568e-4	2.33446e-4	0	7.48479e-5	0	5.16256e-4	5.63454e-5	4.4745e-4	0	3.88845e-4	3.66802e-4	6.03601e-4	1.00391e-4	0.00116694	4.49389e-4	4.66591e-4	1.39011e-4	1.34109e-4	1.36373e-4	6.51473e-4	2.18673e-5	1.18827e-4	0	0.0011887	3.86628e-4	0	4.08114e-4	1.13959e-4	9.44099e-5	0	6.69259e-4	0	7.69389e-4	9.70082e-5	0	0	1.27184e-4	0	0	8.54214e-5	0	2.31631e-4	3.98531e-4	8.09066e-4	0	1.90964e-4	1.80599e-4	4.87344e-4	2.92285e-4	0	0	2.11714e-4	0	6.99998e-5	2.09906e-4	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage|g__Escherichia.s__Escherichia_coli	0	0	0	0	4.45978e-4	6.46505e-5	0	0	0	2.96184e-4	0	7.90803e-5	0	0	2.61748e-4	1.60794e-4	0	5.31102e-4	3.15592e-4	3.40779e-4	1.12977e-4	0	6.8824e-5	1.49518e-4	0	0	0	1.54369e-4	3.25413e-4	0	0	0	0	0	1.64838e-4	0	0	0	0	0	0	0	0	0	0	1.66917e-4	3.12343e-4	0	0	9.96732e-5	0	2.8486e-4	1.87059e-4	0	0	7.32688e-5	0	0	8.71588e-5	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage|g__Streptococcus.s__Streptococcus_gallolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	4.63228e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage|unclassified	0	0	0	0	0	0	0	6.90354e-5	0	1.78637e-4	3.85788e-5	2.46339e-4	0	0	5.78187e-5	3.88076e-4	7.40256e-5	0	0	0	0	1.24759e-4	5.04156e-5	4.3033e-4	2.11321e-5	9.49105e-5	0	9.13212e-4	0	0	0	0	0	0	1.17964e-4	0	5.08633e-5	0	0	0	0	0	0	6.15551e-5	0	0	0	5.5662e-4	0	0	0	0	4.62808e-5	0	0	8.71505e-5	0	6.90294e-5	0	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	8.31257e-4	0.00147355	3.02986e-4	5.52041e-4	0.00194771	0.00101156	4.38124e-4	6.30984e-4	5.23152e-4	0.00161786	7.32025e-4	8.40375e-4	0.00115011	6.79531e-4	0.00211597	0.00124354	0.00115473	0.00196536	0.00169485	0.0018628	0.00160872	0.00103961	0.00117077	0.00167812	8.64378e-4	0.00132973	0.00110516	0.00131357	0.00230801	9.91853e-4	4.72782e-4	5.08835e-4	0.00107604	7.77895e-4	0.0013148	7.72985e-4	8.11598e-4	8.75989e-4	4.71949e-4	5.28315e-4	5.33341e-4	8.82753e-4	9.27807e-4	0.00104902	0.00101534	0.0013482	0.00187174	0.00100016	5.2133e-4	0.00126813	0.00120298	0.00192639	0.00135998	8.77714e-4	0.00092951799999999995	0.00111085	0.00103341	6.22734e-4	0.00130668	7.13455e-4
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation|g__Escherichia.s__Escherichia_coli	1.12991e-4	0	0	0	0.00118284	1.81169e-4	0	0	0	8.23292e-4	0	2.14437e-4	0	0	9.76698e-4	3.03494e-4	2.63308e-4	8.58751e-4	5.96652e-4	6.74246e-4	3.12881e-4	1.42689e-4	1.67387e-4	4.93631e-4	0	1.48797e-4	0	2.63119e-4	0.0010689	1.006e-4	0	2.68952e-5	0	0	2.65385e-4	0	0	9.37157e-5	0	0	0	0	0	0	0	2.47897e-4	7.73099e-4	1.03266e-4	0	2.86255e-4	2.25419e-4	5.90576e-4	4.16913e-4	0	1.24852e-4	2.09185e-4	0	0	9.55948e-5	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.37524e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation|unclassified	5.30796e-4	0.00139418	3.00932e-4	5.42837e-4	3.90136e-4	4.69768e-4	4.37411e-4	6.06849e-4	5.17659e-4	5.42355e-4	7.01561e-4	4.07965e-4	0.00114559	5.47792e-4	5.42474e-4	5.87887e-4	6.36086e-4	4.4069e-4	6.14606e-4	7.80603e-4	8.92745e-4	6.24613e-4	8.94355e-4	7.91367e-4	7.70832e-4	0.00113357	0.00107531	7.58705e-4	6.15464e-4	7.9777e-4	3.78265e-4	4.29531e-4	0.00102623	7.01764e-4	5.83032e-4	7.46872e-4	4.17942e-4	6.96557e-4	4.71893e-4	4.64831e-4	5.08792e-4	8.33582e-4	8.99291e-4	9.23298e-4	9.46672e-4	6.72881e-4	6.02403e-4	8.46594e-4	5.14685e-4	4.88633e-4	7.41247e-4	6.61769e-4	6.57086e-4	8.68536e-4	6.89476e-4	7.45538e-4	0.00103185	6.18774e-4	7.68203e-4	6.96404e-4
FUCCAT-PWY: fucose degradation	8.88042e-4	9.83439e-4	7.02323e-4	7.87195e-4	0.00193583	9.13935e-4	6.98889e-4	8.19775e-4	5.27565e-4	0.00186623	7.04483e-4	6.9362e-4	9.06266e-4	6.15708e-4	0.00212606	0.00113222	9.76509e-4	0.00208727	0.00141801	0.00193843	0.00135525	8.58573e-4	0.00132131	0.00143055	6.86515e-4	0.00115762	8.4552e-4	0.00106943	0.00200198	6.80993e-4	4.10563e-4	5.0851e-4	7.86525e-4	5.89886e-4	0.00114212	8.16322e-4	6.5015e-4	6.96769e-4	4.01822e-4	3.44813e-4	5.59537e-4	6.64648e-4	6.44324e-4	7.83312e-4	7.52131e-4	0.00116392	0.00172631	6.71834e-4	4.03458e-4	0.00111815	9.30114e-4	0.00173786	0.0011111	5.39641e-4	8.32511e-4	7.43082e-4	7.14941e-4	4.84623e-4	9.71737e-4	5.35103e-4
FUCCAT-PWY: fucose degradation|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90189e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUCCAT-PWY: fucose degradation|g__Escherichia.s__Escherichia_coli	1.81531e-4	7.56819e-5	0	0	0.00144727	2.02546e-4	0	0	0	0.00118239	1.85401e-5	2.75173e-4	0	3.0693e-5	0.00107778	3.12147e-4	2.32129e-4	0.0010422	6.51238e-4	8.89755e-4	4.13515e-4	1.50803e-4	2.74077e-4	4.98551e-4	3.94752e-5	1.46921e-4	0	3.00952e-4	0.00104103	7.29085e-5	0	2.6365e-5	0	0	3.19014e-4	0	0	8.64451e-5	0	0	0	0	0	5.73822e-5	0	4.25095e-4	8.56809e-4	8.82895e-5	0	2.80321e-4	2.48666e-4	7.47046e-4	5.32935e-4	0	1.31945e-4	1.86719e-4	0	0	1.89052e-4	0
FUCCAT-PWY: fucose degradation|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42145e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUCCAT-PWY: fucose degradation|unclassified	4.80283e-4	8.66562e-4	6.76907e-4	7.66125e-4	2.81798e-4	6.35353e-4	6.95245e-4	7.3002e-4	5.11045e-4	4.79626e-4	6.32963e-4	3.24294e-4	9.00093e-4	4.45004e-4	4.85285e-4	3.61015e-4	6.28627e-4	6.95723e-4	5.83549e-4	5.46191e-4	6.33203e-4	4.57102e-4	7.34454e-4	5.05565e-4	5.95159e-4	9.30279e-4	8.45385e-4	4.72743e-4	3.84604e-4	5.83933e-4	3.495e-4	4.67221e-4	7.62982e-4	4.81511e-4	4.17199e-4	7.99794e-4	3.33281e-4	5.72525e-4	4.01783e-4	2.70866e-4	5.08004e-4	6.63311e-4	6.39267e-4	7.77452e-4	7.15216e-4	4.9456e-4	4.09517e-4	6.20967e-4	4.01798e-4	6.07789e-4	5.15458e-4	4.18989e-4	5.35595e-4	5.39572e-4	4.97948e-4	4.7929e-4	7.13372e-4	4.84566e-4	6.29382e-4	4.94258e-4
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.00228877	0.00114741	0.00149092	0.00156739	0.00272953	0.00161879	0.00217858	0.00181478	0.0020185	0.00241392	0.00223651	0.00110658	0.0014203	0.00208185	0.00234711	0.00156986	0.00187555	0.00224758	0.00199404	0.0021057	0.00202194	0.00126225	0.00178473	0.00236367	0.00188151	0.00175558	0.00206757	0.0014986	0.00269599	0.00166609	0.0010387	0.0014062	0.00166356	8.51404e-4	0.00161782	0.0016606	0.00171714	0.00145526	0.00140243	0.00165723	0.00138704	0.00193382	0.00121698	9.00425e-4	0.00121333	0.00152319	0.00208068	0.0012914	7.14164e-4	0.0012761	0.00214629	0.00234865	0.00200505	0.00135322	0.0016911	0.00152532	0.00150809	0.00118211	0.00137321	0.0013101
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation|g__Escherichia.s__Escherichia_coli	9.3805e-5	0	0	0	6.58866e-4	9.15803e-5	0	0	0	4.90954e-4	0	1.24605e-4	0	2.45532e-5	4.34504e-4	1.54857e-4	1.54895e-4	4.47252e-4	3.3105e-4	3.84399e-4	2.75168e-4	8.88935e-5	1.00638e-4	3.81902e-4	0	8.23547e-5	0	1.40166e-4	5.41221e-4	9.37159e-5	0	0	0	0	2.16946e-4	0	0	3.75822e-5	0	0	0	0	0	0	0	1.76821e-4	5.06392e-4	5.32002e-5	0	1.51855e-4	1.59848e-4	2.68774e-4	2.3954e-4	0	4.36068e-5	0	0	0	1.26762e-4	0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation|unclassified	0.0017834	0.00103388	0.00144552	0.00155889	4.44859e-4	0.00130087	0.00217773	0.00180895	0.00201264	7.27381e-4	0.00213677	6.88101e-4	0.00141636	0.00183032	9.74139e-4	0.00106671	0.00100289	7.16366e-4	6.91291e-4	9.6628e-4	0.00101288	0.00109383	0.00121873	0.00103307	0.00184663	0.00145052	0.00205552	7.59663e-4	6.84918e-4	0.00132134	0.0010198	0.00137572	0.00165616	7.70771e-4	7.73095e-4	0.00163755	0.00168704	0.00137416	0.0014008	0.00165488	0.00137202	0.00190672	0.00116533	7.59115e-4	0.00118952	6.93796e-4	7.09383e-4	7.02991e-4	7.14003e-4	6.82109e-4	0.00163115	7.92466e-4	8.73539e-4	0.00135181	0.00154875	0.00117398	0.00150809	0.00117723	5.86701e-4	0.00130756
GALACTARDEG-PWY: D-galactarate degradation I	9.22038e-4	3.34005e-4	0.00035141700000000003	4.12464e-5	0.00259952	7.4825e-4	4.39611e-5	7.08509e-5	1.19225e-4	0.00222613	2.14546e-4	9.70062e-4	1.26636e-4	5.72351e-4	0.00206055	8.97584e-4	5.01665e-4	0.00267936	0.00125053	0.00150881	0.00115895	4.79664e-4	7.0323e-4	0.00130719	3.19694e-4	2.79755e-4	9.97626e-6	0.00065129300000000005	0.00157974	5.95776e-4	3.53031e-5	2.0961e-4	9.44184e-5	3.57331e-4	0.00110214	7.91474e-5	2.21461e-4	3.08029e-4	2.78705e-5	1.5495e-4	5.48068e-5	8.71374e-5	4.51162e-5	4.79373e-4	3.28669e-4	7.3232e-4	0.00161807	2.72698e-4	1.71731e-5	5.61203e-4	4.1476e-4	0.00108071	0.00101962	1.2447e-4	2.35299e-4	3.13094e-4	3.38412e-5	0	5.34933e-4	1.51719e-4
GALACTARDEG-PWY: D-galactarate degradation I|g__Escherichia.s__Escherichia_coli	5.52769e-4	9.37782e-5	0	0	0.0023392	3.92365e-4	0	0	0	0.00198757	0	6.06957e-4	0	1.96062e-4	0.00193734	5.55472e-4	3.60288e-4	0.00228059	0.00109416	0.00138077	8.90087e-4	3.40668e-4	5.13307e-4	0.0011451	1.42949e-4	2.08739e-4	0	4.16666e-4	0.00147287	2.72303e-4	0	2.52748e-5	0	2.62394e-5	7.04407e-4	0	0	8.58887e-5	0	0	0	0	0	0	0	5.43355e-4	0.00140541	1.89698e-4	0	3.79313e-4	2.86124e-4	9.14859e-4	8.08881e-4	0	1.31318e-4	2.33961e-4	0	0	2.73532e-4	0
GALACTARDEG-PWY: D-galactarate degradation I|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00762e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTARDEG-PWY: D-galactarate degradation I|unclassified	1.70532e-4	1.52744e-4	9.47699e-5	4.10529e-5	1.25124e-4	7.91843e-5	4.3898e-5	7.07639e-5	1.18353e-4	1.16243e-4	1.28755e-4	1.38996e-4	1.25718e-4	9.59381e-5	0	6.55645e-5	1.16139e-4	1.38513e-4	7.4797e-5	5.38126e-5	2.25895e-4	9.71409e-5	4.53623e-5	6.26426e-5	3.32971e-5	1.04165e-4	9.97626e-6	8.26772e-5	7.04205e-5	2.07811e-4	3.51985e-5	1.2802e-4	9.36935e-5	2.76049e-4	2.09581e-4	7.86979e-5	8.62694e-5	2.26861e-4	2.77836e-5	1.54773e-4	5.42778e-5	8.66955e-5	4.50359e-5	0	1.88482e-4	1.18263e-4	1.92569e-4	3.88404e-5	1.71731e-5	1.45232e-4	9.50238e-5	6.44048e-5	1.75031e-4	1.2447e-4	5.07625e-5	1.90652e-4	3.38412e-5	0	1.56043e-4	1.51719e-4
GALACTITOLCAT-PWY: galactitol degradation	1.84108e-4	1.2937e-4	7.46048e-5	8.03499e-5	0.00139146	2.76879e-4	9.25411e-5	2.46041e-4	1.81712e-4	0.00105543	2.29922e-4	3.3398e-4	1.20625e-4	2.64618e-4	0.00114849	2.44925e-4	5.29403e-4	0.00104533	5.87787e-4	6.64355e-4	5.72003e-4	1.39805e-4	3.47814e-4	6.22952e-4	1.47652e-4	4.10165e-4	2.14515e-4	2.98592e-4	9.02886e-4	2.33397e-4	3.45256e-4	1.81808e-4	8.89293e-5	1.20625e-4	3.97522e-4	9.63159e-5	1.77278e-4	1.94103e-4	7.93925e-5	1.60216e-4	1.28526e-4	1.5978e-4	1.46686e-4	1.74564e-4	4.80342e-5	4.24435e-4	6.8799e-4	2.76755e-4	1.49978e-4	3.39504e-4	5.58707e-4	6.84122e-4	4.70831e-4	1.5604e-4	2.43032e-4	2.99427e-4	5.94779e-5	2.38381e-4	1.90548e-4	1.06418e-4
GALACTITOLCAT-PWY: galactitol degradation|g__Escherichia.s__Escherichia_coli	5.78305e-5	1.01875e-4	0	0	0.00128369	1.41399e-4	0	0	0	9.32412e-4	0	1.61841e-4	0	2.81448e-5	0.00100209	1.3252e-4	3.24642e-4	9.06728e-4	4.60081e-4	5.81089e-4	4.14358e-4	2.81842e-5	1.56903e-4	4.83522e-4	0	1.69339e-4	0	7.90863e-5	7.71679e-4	8.71712e-5	0	0	0	0	3.01973e-4	0	0	0	0	0	0	0	0	0	0	2.34934e-4	5.83427e-4	1.37472e-4	0	2.00071e-4	3.76801e-4	5.71033e-4	3.61772e-4	0	2.95667e-5	1.8607e-4	0	1.47337e-5	1.22048e-4	0
GALACTITOLCAT-PWY: galactitol degradation|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.74879e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTITOLCAT-PWY: galactitol degradation|unclassified	1.20772e-4	0	7.30999e-5	8.00567e-5	7.62921e-5	1.11765e-4	9.11695e-5	2.38022e-4	1.77898e-4	7.18027e-5	2.22614e-4	1.20974e-4	1.13137e-4	2.17593e-4	8.04358e-5	9.06551e-5	1.81381e-4	4.47428e-5	1.25224e-4	6.13976e-5	1.57171e-4	1.04808e-4	1.87638e-4	9.47616e-5	1.4667e-4	1.89381e-4	2.13564e-4	1.98104e-4	1.2816e-4	1.27151e-4	3.32753e-4	1.76751e-4	8.83541e-5	1.13687e-4	7.93906e-5	9.55088e-5	1.70645e-4	1.72306e-4	7.82926e-5	1.56316e-4	1.26526e-4	1.5778e-4	1.46119e-4	1.67829e-4	4.75687e-5	1.77327e-4	9.8633e-5	1.2395e-4	1.49469e-4	1.13096e-4	1.35896e-4	7.28451e-5	1.02141e-4	1.43061e-4	2.03348e-4	9.63541e-5	5.94779e-5	2.0812e-4	6.03318e-5	1.05806e-4
GALACTUROCAT-PWY: D-galacturonate degradation I	0.00379406	0.00517811	0.00346802	0.00308328	0.0027084	0.0029498	0.00472321	0.00227813	0.00339175	0.0024753	0.00375475	0.00244861	0.00352561	0.00303829	0.00251896	0.00304876	0.0029997	0.00260139	0.00259552	0.0022376	0.00332355	0.00280214	0.00305194	0.00353147	0.00258889	0.00260085	0.00376336	0.0027212	0.00267287	0.00416126	0.00113733	0.00428043	0.00276294	0.00324142	0.00288232	0.00231054	0.00433193	0.00349919	0.00495159	0.00352706	0.00244691	0.00319266	0.0033821	0.00375783	0.00305014	0.00334762	0.00302324	0.00326633	0.00182045	0.00371678	0.00351018	0.00336061	0.00362817	0.00381398	0.00345717	0.00356361	0.00359076	0.00254886	0.00358501	0.00389024
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Bacillus.s__Bacillus_subtilis_group	0	0	0	0	0	0	0	0	0	9.18932e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Cellulosilyticum.s__Cellulosilyticum_lentocellum	4.25733e-5	0	4.52032e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90556e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Clostridium.s__Clostridium_butyricum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68372e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Enterococcus.s__Enterococcus_gallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10208e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Escherichia.s__Escherichia_coli	7.56066e-5	0	0	0	5.74397e-4	8.54828e-5	0	0	0	4.84079e-4	0	1.03213e-4	0	2.14111e-5	4.20733e-4	1.55586e-4	1.27384e-4	4.30256e-4	3.46418e-4	3.3715e-4	2.87896e-4	1.00802e-4	9.31113e-5	3.45404e-4	0	6.44999e-5	0	1.36199e-4	4.88929e-4	7.95815e-5	0	1.60656e-5	0	0	1.88964e-4	0	0	3.03291e-5	0	0	0	0	0	0	0	1.40806e-4	4.38791e-4	6.58256e-5	0	1.54627e-4	1.70421e-4	2.29415e-4	2.13921e-4	0	6.30471e-5	5.5292e-5	0	0	1.56484e-4	0
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.67003e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Treponema.s__Treponema_saccharophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.27118e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I|unclassified	0.00360841	0.00516418	0.00338541	0.0029894	0.00195422	0.00279243	0.00471985	0.00226519	0.00335062	0.00170474	0.00364094	0.00213713	0.00346648	0.0029493	0.00173512	0.00286624	0.00276395	0.00139496	0.00214662	0.00185992	0.00302541	0.00270123	0.00291492	0.00315277	0.00257093	0.00246238	0.00376336	0.00251117	0.00204205	0.00397523	0.0011047	0.00418697	0.00270935	0.00320739	0.00256284	0.00226635	0.00411994	0.00345058	0.00492678	0.00351259	0.00233693	0.00314605	0.00325166	0.00373575	0.00301833	0.00313757	0.00262887	0.00321401	0.00181835	0.00361331	0.00334027	0.00307409	0.0032976	0.00379528	0.00334958	0.00351035	0.00359076	0.0025248	0.0033183	0.00387824
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.00139021	0.00117893	6.50374e-4	6.16623e-4	0.00226042	0.00197101	0.00381628	0.00187575	0.00113113	0.00197385	6.53532e-4	0.00128586	5.92847e-4	0.00102173	0.00206154	0.00112666	0.0014837	0.00222175	0.00200138	0.00175226	0.00146729	0.00151438	0.00200825	0.00163428	0.00296277	0.00260145	0.0028104	0.00135318	0.00207612	0.00112192	0.00187238	8.02514e-4	8.34795e-4	9.15188e-4	0.00146101	0.00163401	0.00116541	0.00164018	7.2959e-4	0.00201382	7.44429e-4	0.00140831	0.001132	4.43324e-4	0.00116388	0.00133936	0.00186646	0.00118978	9.54728e-4	9.84954e-4	0.0013656	0.00157611	0.00125368	0.00143873	0.00169994	0.00112765	0.0011157	0.00164486	0.00172903	9.35843e-4
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Clostridium.s__Clostridium_butyricum	1.92596e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48072e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Enterococcus.s__Enterococcus_gallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.06663e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Escherichia.s__Escherichia_coli	2.41137e-4	5.85974e-5	0	0	0.00170694	2.14415e-4	0	0	0	0.00107172	3.1563e-5	2.9719e-4	0	5.20667e-5	0.00112276	4.89661e-4	4.56049e-4	0.00155256	8.10407e-4	7.83334e-4	5.00187e-4	1.17978e-4	2.29484e-4	8.21777e-4	5.66519e-5	1.77207e-4	0	3.71396e-4	0.00119886	2.944e-4	0	5.42091e-5	0	0	5.65704e-4	0	0	7.55151e-5	0	0	0	0	0	3.39087e-5	0	4.74992e-4	9.43481e-4	1.05108e-4	0	3.01888e-4	3.19578e-4	8.53809e-4	5.34819e-4	0	1.71325e-4	1.51934e-4	0	0	1.8306e-4	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Streptococcus.s__Streptococcus_uberis	0	0	2.28743e-5	0	0	2.68227e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|unclassified	9.09369e-4	0.00103897	5.23011e-4	5.07928e-4	1.28402e-4	0.00154726	0.0034759	0.00136923	0.001029	5.81993e-4	5.49606e-4	8.89545e-4	5.81123e-4	8.14352e-4	7.4109e-4	7.97786e-4	7.90527e-4	3.3918e-4	0.00107526	7.73432e-4	6.70904e-4	0.00131791	0.00175755	7.73245e-4	0.00226981	0.00186772	0.00274718	8.14673e-4	4.82869e-4	7.85222e-4	0.00111886	4.74783e-4	7.33628e-4	9.04161e-4	5.56437e-4	0.00146189	4.61423e-4	0.00147313	7.22152e-4	0.00154115	5.07405e-4	0.00116892	0.0011283	4.40547e-4	0.00102071	5.81449e-4	7.43279e-4	0.00103392	8.9423e-4	6.68166e-4	9.3184e-4	5.30981e-4	4.47858e-4	0.00118453	0.00149841	8.40236e-4	0.00111566	0.00139186	0.00142531	9.3583e-4
