clade_name	clade_taxid	YK62	YK61	YK60	YK59	YK58	YK57	YK56	YK55	YK54	YK53	YK52	YK51	YK50	YK49	YK48	YK47	YK46	YK45	YK44	YK43	YK42	YK41	YK40	YK39	YK38	YK37	YK36	YK35	YK34	YK33	YK32	SH9	SH8	SH7	SH6	SH5	SH4	SH3	SH31	SH30	SH2	SH29	SH28	SH27	SH26	SH25	SH24	SH23	SH22	SH21	SH20	SH1	SH19	SH18	SH17	SH16	SH15	SH14	SH13	SH12	SH11	SH10
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23871|s__GGB23871_SGB35606	2|976|||||	0	0	0	0	0	0	0	0	4068.0	0	0	0	0	0	0	0	0	10384.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23871|s__GGB23871_SGB35606|t__SGB35606	2|976||||||	0	0	0	0	0	0	0	0	4068.0	0	0	0	0	0	0	0	0	10384.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23874	2|976||||	0	0	0	6069.0	0	0	0	0	0	0	0	0	0	0	0	5537.0	0	33719.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1224.0	0	0	0	14099.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23874|s__GGB23874_SGB35609	2|976|||||	0	0	0	6069.0	0	0	0	0	0	0	0	0	0	0	0	5537.0	0	33719.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1224.0	0	0	0	14099.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23874|s__GGB23874_SGB35609|t__SGB35609	2|976||||||	0	0	0	6069.0	0	0	0	0	0	0	0	0	0	0	0	5537.0	0	33719.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1224.0	0	0	0	14099.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23881	2|976||||	0	0	0	0	194076.0	0	63710.0	1733.0	0	0	94011.0	0	0	0	19981.0	0	0	6965.0	0	0	0	0	0	33757.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28548.0	0	0	0	26820.0	0	0	0	180885.0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23881|s__GGB23881_SGB35616	2|976|||||	0	0	0	0	194076.0	0	63710.0	1733.0	0	0	94011.0	0	0	0	19981.0	0	0	6965.0	0	0	0	0	0	33757.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28548.0	0	0	0	26820.0	0	0	0	180885.0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23881|s__GGB23881_SGB35616|t__SGB35616	2|976||||||	0	0	0	0	194076.0	0	63710.0	1733.0	0	0	94011.0	0	0	0	19981.0	0	0	6965.0	0	0	0	0	0	33757.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28548.0	0	0	0	26820.0	0	0	0	180885.0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23885	2|976||||	0	0	0	0	0	0	4158.0	0	0	0	0	0	0	0	0	0	0	6806.0	0	0	0	0	0	1811.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23885|s__GGB23885_SGB35621	2|976|||||	0	0	0	0	0	0	4158.0	0	0	0	0	0	0	0	0	0	0	6806.0	0	0	0	0	0	1811.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23885|s__GGB23885_SGB35621|t__SGB35621	2|976||||||	0	0	0	0	0	0	4158.0	0	0	0	0	0	0	0	0	0	0	6806.0	0	0	0	0	0	1811.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23888	2|976||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2119.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1162546.0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23888|s__GGB23888_SGB35624	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2119.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1162546.0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23888|s__GGB23888_SGB35624|t__SGB35624	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2119.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1162546.0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7503	2|976|	0	0	0	0	0	0	43095.0	0	69356.0	0	0	53765.0	0	0	0	0	84207.0	46057.0	0	0	2405.0	0	0	132108.0	0	0	0	121502.0	0	0	5621.0	0	705.0	402.0	8819.0	85219.0	16666.0	125236.0	0	0	0	0	15723.0	0	0	61151.0	0	0	0	0	0	9683.0	0	0	0	105095.0	0	5825.0	0	0	0	40162.0
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503	2|976||	0	0	0	0	0	0	43095.0	0	69356.0	0	0	53765.0	0	0	0	0	84207.0	46057.0	0	0	2405.0	0	0	132108.0	0	0	0	121502.0	0	0	5621.0	0	705.0	402.0	8819.0	85219.0	16666.0	125236.0	0	0	0	0	15723.0	0	0	61151.0	0	0	0	0	0	9683.0	0	0	0	105095.0	0	5825.0	0	0	0	40162.0
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503|f__FGB7503	2|976|||	0	0	0	0	0	0	43095.0	0	69356.0	0	0	53765.0	0	0	0	0	84207.0	46057.0	0	0	2405.0	0	0	132108.0	0	0	0	121502.0	0	0	5621.0	0	705.0	402.0	8819.0	85219.0	16666.0	125236.0	0	0	0	0	15723.0	0	0	61151.0	0	0	0	0	0	9683.0	0	0	0	105095.0	0	5825.0	0	0	0	40162.0
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503|f__FGB7503|g__GGB23900	2|976||||	0	0	0	0	0	0	43095.0	0	0	0	0	53765.0	0	0	0	0	0	46057.0	0	0	2405.0	0	0	132108.0	0	0	0	121502.0	0	0	5621.0	0	705.0	402.0	8819.0	85219.0	16666.0	125236.0	0	0	0	0	15723.0	0	0	61151.0	0	0	0	0	0	9683.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503|f__FGB7503|g__GGB23900|s__GGB23900_SGB35640	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	53476.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705.0	0	0	0	0	0	0	0	0	0	14219.0	0	0	0	0	0	0	0	0	9683.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503|f__FGB7503|g__GGB23900|s__GGB23900_SGB35640|t__SGB35640	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	53476.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705.0	0	0	0	0	0	0	0	0	0	14219.0	0	0	0	0	0	0	0	0	9683.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503|f__FGB7503|g__GGB23900|s__GGB23900_SGB40379	2|976|||||	0	0	0	0	0	0	43095.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132108.0	0	0	0	121502.0	0	0	5621.0	0	0	402.0	8819.0	85219.0	16666.0	125236.0	0	0	0	0	1504.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503|f__FGB7503|g__GGB23900|s__GGB23900_SGB40379|t__SGB40379	2|976||||||	0	0	0	0	0	0	43095.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132108.0	0	0	0	121502.0	0	0	5621.0	0	0	402.0	8819.0	85219.0	16666.0	125236.0	0	0	0	0	1504.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503|f__FGB7503|g__GGB23900|s__GGB23900_SGB40380	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	289.0	0	0	0	0	0	46057.0	0	0	2405.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61151.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503|f__FGB7503|g__GGB23900|s__GGB23900_SGB40380|t__SGB40380	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	289.0	0	0	0	0	0	46057.0	0	0	2405.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61151.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503|f__FGB7503|g__GGB27936	2|976||||	0	0	0	0	0	0	0	0	69356.0	0	0	0	0	0	0	0	84207.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105095.0	0	5825.0	0	0	0	40162.0
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503|f__FGB7503|g__GGB27936|s__GGB27936_SGB40375	2|976|||||	0	0	0	0	0	0	0	0	69356.0	0	0	0	0	0	0	0	84207.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105095.0	0	5825.0	0	0	0	40162.0
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503|f__FGB7503|g__GGB27936|s__GGB27936_SGB40375|t__SGB40375	2|976||||||	0	0	0	0	0	0	0	0	69356.0	0	0	0	0	0	0	0	84207.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105095.0	0	5825.0	0	0	0	40162.0
k__Bacteria|p__Bacteroidetes|c__CFGB7515	2|976|	0	0	0	38378.0	0	0	0	0	0	0	0	0	0	0	0	2277.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1401.0	2523.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7515|o__OFGB7515	2|976||	0	0	0	38378.0	0	0	0	0	0	0	0	0	0	0	0	2277.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1401.0	2523.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7515|o__OFGB7515|f__FGB7515	2|976|||	0	0	0	38378.0	0	0	0	0	0	0	0	0	0	0	0	2277.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1401.0	2523.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7515|o__OFGB7515|f__FGB7515|g__GGB23924	2|976||||	0	0	0	38378.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1401.0	2523.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7515|o__OFGB7515|f__FGB7515|g__GGB23924|s__GGB23924_SGB35667	2|976|||||	0	0	0	38378.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2523.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7515|o__OFGB7515|f__FGB7515|g__GGB23924|s__GGB23924_SGB35667|t__SGB35667	2|976||||||	0	0	0	38378.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2523.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7515|o__OFGB7515|f__FGB7515|g__GGB23924|s__GGB23924_SGB35668	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1401.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7515|o__OFGB7515|f__FGB7515|g__GGB23924|s__GGB23924_SGB35668|t__SGB35668	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1401.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7515|o__OFGB7515|f__FGB7515|g__GGB23925	2|976||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2277.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7515|o__OFGB7515|f__FGB7515|g__GGB23925|s__GGB23925_SGB35669	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2277.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7515|o__OFGB7515|f__FGB7515|g__GGB23925|s__GGB23925_SGB35669|t__SGB35669	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2277.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7535	2|976|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7535|o__OFGB7535	2|976||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7535|o__OFGB7535|f__FGB7535	2|976|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7535|o__OFGB7535|f__FGB7535|g__GGB24032	2|976||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7535|o__OFGB7535|f__FGB7535|g__GGB24032|s__GGB24032_SGB35804	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7535|o__OFGB7535|f__FGB7535|g__GGB24032|s__GGB24032_SGB35804|t__SGB35804	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7535|o__OFGB7535|f__FGB7535|g__GGB24033	2|976||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7535|o__OFGB7535|f__FGB7535|g__GGB24033|s__GGB24033_SGB40514	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7535|o__OFGB7535|f__FGB7535|g__GGB24033|s__GGB24033_SGB40514|t__SGB40514	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7536	2|976|	0	0	0	0	0	0	0	0	0	0	0	0	434098.0	0	0	0	0	4225.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150171.0	0	0	0	0	0	45846.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7536|o__OFGB7536	2|976||	0	0	0	0	0	0	0	0	0	0	0	0	434098.0	0	0	0	0	4225.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150171.0	0	0	0	0	0	45846.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7536|o__OFGB7536|f__FGB7536	2|976|||	0	0	0	0	0	0	0	0	0	0	0	0	434098.0	0	0	0	0	4225.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150171.0	0	0	0	0	0	45846.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7536|o__OFGB7536|f__FGB7536|g__GGB24040	2|976||||	0	0	0	0	0	0	0	0	0	0	0	0	434098.0	0	0	0	0	4225.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150171.0	0	0	0	0	0	45846.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7536|o__OFGB7536|f__FGB7536|g__GGB24040|s__GGB24040_SGB35815	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	434098.0	0	0	0	0	4225.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150171.0	0	0	0	0	0	45846.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7536|o__OFGB7536|f__FGB7536|g__GGB24040|s__GGB24040_SGB35815|t__SGB35815	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	0	434098.0	0	0	0	0	4225.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150171.0	0	0	0	0	0	45846.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7537	2|976|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19862.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7537|o__OFGB7537	2|976||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19862.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7537|o__OFGB7537|f__FGB7537	2|976|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19862.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7537|o__OFGB7537|f__FGB7537|g__GGB24046	2|976||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19862.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7537|o__OFGB7537|f__FGB7537|g__GGB24046|s__GGB24046_SGB35823	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19862.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7537|o__OFGB7537|f__FGB7537|g__GGB24046|s__GGB24046_SGB35823|t__SGB35823	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19862.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7542	2|976|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7542|o__OFGB7542	2|976||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7542|o__OFGB7542|f__FGB7542	2|976|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7542|o__OFGB7542|f__FGB7542|g__GGB24053	2|976||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7542|o__OFGB7542|f__FGB7542|g__GGB24053|s__GGB24053_SGB35831	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7542|o__OFGB7542|f__FGB7542|g__GGB24053|s__GGB24053_SGB35831|t__SGB35831	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7548	2|976|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7548|o__OFGB7548	2|976||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7548|o__OFGB7548|f__FGB7548	2|976|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7548|o__OFGB7548|f__FGB7548|g__GGB24060	2|976||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
