# Pathway	# Pathway	SH1	SH2	SH3	SH4	SH5	SH6	SH7	SH8	SH9	SH10	SH11	SH12	SH13	SH14	SH15	SH16	SH17	SH18	SH19	SH20	SH21	SH22	SH23	SH24	SH25	SH26	SH27	SH28	SH29	SH30	YK31	YK32	YK33	YK34	YK35	YK36	YK37	YK38	YK39	YK40	YK41	YK42	YK43	YK44	YK45	YK46	YK47	YK48	YK49	YK50	YK51	YK52	YK53	YK54	YK55	YK56	YK57	YK58	YK59	YK60
PWY-4041: &gamma;-glutamyl cycle|g__Bifidobacterium.s__Bifidobacterium_criceti	PWY-4041: &gamma;-glutamyl cycle|g__Bifidobacterium.s__Bifidobacterium_criceti	0	0	3.15794E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000018751	0	0	1.69187E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4041: &gamma;-glutamyl cycle|g__Bifidobacterium.s__Bifidobacterium_longum	PWY-4041: &gamma;-glutamyl cycle|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4041: &gamma;-glutamyl cycle|g__Clostridium.s__Clostridium_perfringens	PWY-4041: &gamma;-glutamyl cycle|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54725E-05	0	0	0	0	0	0	0	0	0.000224141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4041: &gamma;-glutamyl cycle|g__Escherichia.s__Escherichia_coli	PWY-4041: &gamma;-glutamyl cycle|g__Escherichia.s__Escherichia_coli	0.000199754	0.00011603	0	0	0.00197424	0.000192538	0	0	0	0.00146522	0	0.000345641	0	6.10396E-05	0.00154488	0.000149793	0.00035685	0.00133558	0.000828197	0.00103967	0.000529153	0.000216373	0.000319395	0.000599614	3.71612E-05	0.000309368	0	0.000381774	0.00133678	0.000368646	0	0	0	0	0.000459241	0	1.97568E-05	8.59784E-05	0	0	0	0	0	6.42156E-05	0	0.000556495	0.000900618	0.000197762	0	0.00041006	0.000350861	0.000887573	0.000668569	0	0.000140219	0.000239181	0	3.35279E-05	0.000319795	0
PWY-4041: &gamma;-glutamyl cycle|g__Klebsiella.s__Klebsiella_pneumoniae	PWY-4041: &gamma;-glutamyl cycle|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000325026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4041: &gamma;-glutamyl cycle|g__Turicibacter.s__Turicibacter_sanguinis	PWY-4041: &gamma;-glutamyl cycle|g__Turicibacter.s__Turicibacter_sanguinis	0.000138915	0	0.000361249	0.000392423	0.000048763	0.000282531	0.000138642	0.000385016	0.000262097	6.40076E-05	0.000136017	0.00018022	7.33804E-05	0.000257663	3.76058E-05	4.51493E-05	3.47642E-05	0	0	0	0	0	0	0	0.000175795	5.84713E-05	2.47577E-05	0.000042325	1.40291E-05	0	0.000405444	0.000284805	0.000372095	8.17889E-05	2.85798E-05	0.00039039	0.000199775	0	0.000146036	0.000115577	0.000417623	0.000235861	3.64943E-05	3.80535E-05	3.14084E-05	3.08909E-05	2.51679E-05	0	0	2.56767E-05	0	0	0	0	0	0	0	0	0.000023281	0
PWY-4041: &gamma;-glutamyl cycle|unclassified	PWY-4041: &gamma;-glutamyl cycle|unclassified	0.000452077	0.000343854	0.00116179	0.000378332	0.000651638	0.000497308	0.000161032	0.000448083	0.000385268	0.000408725	0.000743733	0.000709775	0.000244562	0.000361175	0.000464769	0.000632436	0.000481883	0.000435282	0.000456679	0.000379827	0.000590815	0.000854219	0.000546926	0.00032134	0.000375665	0.000364427	0.00019314	0.000561278	0.000518954	0.000627495	0.00055216	0.00100929	0.000521919	0.000600089	0.000575086	0.00040802	0.000519338	0.00122309	0.000239357	0.000332571	0.000771021	0.000141827	0.000525225	0.000710054	0.000801166	0.00120081	0.000698984	0.00059877	0.000385573	0.000608754	0.00027663	0.000782262	0.000852274	0.000102404	0.00142589	0.000535652	0.0010199	0.000731593	0.0008351	0.000871067
PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97965E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I|unclassified	PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000019776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4984: urea cycle	PWY-4984: urea cycle	0.000489552	0.000306988	0.000732135	0.000359287	0.000655163	0.000218569	0.000249825	0.000523218	0.000498836	0.000918288	0	0.00204746	0.000761503	3.74559E-05	0.000575443	0.000457006	0.000568793	0.00098087	0.000571639	0.00054745	0.000602429	0.000808853	0.000258364	0.000867178	4.85266E-05	0	0.000170865	0.000441263	2.99455E-05	0.000309105	0.00024182	0.001404	0.000473646	0.00232074	0.00200522	0.000252786	0.000803775	0.000807051	0.00127218	0.000259158	0.00027786	0.000287769	0.00051011	0.000527533	0.00107167	0.000660974	0.000591677	0.000599974	0	0.000874209	0.000413942	0.000505166	0.000357285	0.000918133	0.000300156	0.00043071	0.000347225	0.00085342	0.00155098	0.000186253
PWY-4984: urea cycle|g__Escherichia.s__Escherichia_coli	PWY-4984: urea cycle|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22624E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4984: urea cycle|g__Lysinibacillus.s__Lysinibacillus_fusiformis	PWY-4984: urea cycle|g__Lysinibacillus.s__Lysinibacillus_fusiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.91279E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4984: urea cycle|g__Lysinibacillus.s__Lysinibacillus_massiliensis	PWY-4984: urea cycle|g__Lysinibacillus.s__Lysinibacillus_massiliensis	0	0	0	0	0	0	0	0	0	2.30474E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4984: urea cycle|g__Lysinibacillus.s__Lysinibacillus_sp_B2A1	PWY-4984: urea cycle|g__Lysinibacillus.s__Lysinibacillus_sp_B2A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.18893E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4984: urea cycle|g__Lysinibacillus.s__Lysinibacillus_varians	PWY-4984: urea cycle|g__Lysinibacillus.s__Lysinibacillus_varians	0	0	6.88386E-05	0	0.000082501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000033236	0	0	0	0	0	0	5.44704E-05	0	2.94565E-05	0	0	0	0	0	0	0	6.43129E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4984: urea cycle|g__Rummeliibacillus.s__Rummeliibacillus_sp_POC4	PWY-4984: urea cycle|g__Rummeliibacillus.s__Rummeliibacillus_sp_POC4	5.75896E-05	0	0	0	0	2.70219E-05	0	0	9.71848E-05	0	0	0	6.26913E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.60777E-05	2.21339E-05	0	0	0	0	0	0	0	0	5.55857E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4984: urea cycle|g__Solibacillus.s__Solibacillus_kalamii	PWY-4984: urea cycle|g__Solibacillus.s__Solibacillus_kalamii	0	0	0	0	1.11641E-05	0	0	0	0	0	0	1.38129E-05	0	0	4.42033E-05	0	0	2.03153E-05	1.49629E-05	1.54157E-05	0	0	0	3.63573E-05	0	0	0	0	0	0	0	2.85239E-05	0	2.95876E-05	0.000116466	0	0	1.41981E-05	0	0	0	0	0	0	1.63934E-05	2.76988E-05	2.23067E-05	0	0	1.13516E-05	0	0	0.000016779	0	0	1.87599E-05	0	0	2.28525E-05	0
PWY-4984: urea cycle|g__Solibacillus.s__Solibacillus_silvestris	PWY-4984: urea cycle|g__Solibacillus.s__Solibacillus_silvestris	0	0	0	0	1.17202E-05	0	0	0	0	0	0	1.84793E-05	0	0	5.91622E-05	0	0	1.78895E-05	1.44173E-05	1.54028E-05	0	0	0	2.71661E-05	0	0	0	0	0	0	0	3.27327E-05	0	0.000052682	0.000122276	0	0	1.47522E-05	0	0	0	0	0	0	2.15787E-05	0.000038254	3.20759E-05	1.81755E-05	0	1.28804E-05	0	0	1.35449E-05	0	0	3.11723E-05	0	0	3.76507E-05	0
PWY-4984: urea cycle|g__Treponema.s__Treponema_saccharophilum	PWY-4984: urea cycle|g__Treponema.s__Treponema_saccharophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.84971E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4984: urea cycle|unclassified	PWY-4984: urea cycle|unclassified	0.000381195	0.000306976	0.000383427	0.000359007	0.000311482	0.000154944	0.000249736	0.00052193	0.000241173	0.000751376	0	0.00162435	0.000511412	3.74359E-05	0.00030587	0.000413287	0.00045241	0.000581503	0.000443771	0.000455183	0.000601947	0.000807439	0.000139525	0.000632464	4.85137E-05	0	0.000170856	0.000365634	2.99345E-05	0.000308942	0.000241005	0.000969289	0.000348405	0.00200224	0.00109128	0.000251896	0.000653338	0.000712629	0.00127192	0.00025884	0.000276872	8.13618E-05	0.000509865	0.00052727	0.000861324	0.000422353	0.000461518	0.000508098	0	0.000792295	0.000413741	0.000504267	0.000259253	0.000916952	0.000299854	0.000239846	0.00034718	0.000850169	0.00138669	0.000186229
PWY-5004: superpathway of L-citrulline metabolism	PWY-5004: superpathway of L-citrulline metabolism	7.11069E-05	0	0	0	7.46167E-05	6.61233E-05	0	0	6.85394E-05	0.000206766	0	0.000149237	7.51036E-05	0	0	0	8.73206E-05	0	0	0	6.42902E-05	0	0	0	4.02697E-05	0	0	0.000115971	3.37441E-05	0	0	7.70681E-05	0	0.000224196	0.000121698	0	0	0	0	0	0	0	0	0	0	0.0000535	0	0	0	7.11614E-05	0.000124947	0	7.80782E-05	0	0	0	0	0	5.48692E-05	0
PWY-5004: superpathway of L-citrulline metabolism|unclassified	PWY-5004: superpathway of L-citrulline metabolism|unclassified	6.99581E-05	0	0	0	6.94579E-05	6.18609E-05	0	0	6.18656E-05	0.000198369	0	0.000144411	7.29985E-05	0	0	0	8.48883E-05	0	0	0	6.40466E-05	0	0	0	3.87347E-05	0	0	0.000108917	3.29391E-05	0	0	7.52277E-05	0	0.000222815	0.000118691	0	0	0	0	0	0	0	0	0	0	5.24832E-05	0	0	0	7.02609E-05	0.000116246	0	7.22829E-05	0	0	0	0	0	5.47155E-05	0
PWY-5005: biotin biosynthesis II	PWY-5005: biotin biosynthesis II	9.20218E-05	4.71258E-05	0.000878302	0.000380428	0.000245671	0	0	9.14664E-05	7.84253E-05	0.000147963	0.000260395	0.000273062	5.05951E-05	0.000050341	0.000230204	0.000427784	0.000204693	0.000302193	0	3.61425E-05	0.000279741	0.00013426	6.19752E-05	0	3.04638E-05	3.97009E-05	8.08862E-05	0.000315167	0.000244844	0.00013882	2.01954E-05	0	0	0.000146522	0.000489057	0	0.00018184	0.00101422	0.000663856	0	6.98839E-05	6.29757E-05	0.000319581	0.000235448	0.000226684	0.00107686	0.000191218	8.91388E-05	0.000401055	0	0	0.000132749	0.000549235	0	0.00101853	0.00018068	0.000450363	0.000574262	0.00025879	0.000303941
PWY-5005: biotin biosynthesis II|g__Lysinibacillus.s__Lysinibacillus_varians	PWY-5005: biotin biosynthesis II|g__Lysinibacillus.s__Lysinibacillus_varians	0	0	8.89664E-05	0	5.17769E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000020211	0	0	0	0	0	0	0.000055242	0	5.17392E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5005: biotin biosynthesis II|unclassified	PWY-5005: biotin biosynthesis II|unclassified	8.37113E-05	4.63015E-05	0.000712395	0.000378948	6.54143E-05	0	0	9.13921E-05	7.37562E-05	0.000110686	0.000255321	0.00025396	4.86355E-05	4.87964E-05	0.000171549	0.000323186	0.000172446	0.000110111	0	3.22008E-05	0.000235021	0.000119635	2.74579E-05	0	2.85342E-05	3.57018E-05	8.01392E-05	0.000236857	0.000195002	0.000119184	2.01606E-05	0	0	0.000143822	0.000299055	0	2.91703E-05	0.000765186	0.000663149	0	6.96604E-05	6.23379E-05	0.000315753	0.000209931	0.0001267	0.000925742	0.000162511	0.000067444	0.000400908	0	0	0.00011601	0.000431654	0	0.000719184	0.000173591	0.000450363	0.00048357	0.000226695	0.000272952
PWY-5022: 4-aminobutanoate degradation V	PWY-5022: 4-aminobutanoate degradation V	0.0016196	0.000693267	0.00070991	0.00091722	0.00177388	0.000819914	0.00169681	0.00121962	0.000999091	0.00148239	0.00134464	0.000761614	0.000661938	0.00134436	0.00150137	0.00103223	0.000970167	0.00152857	0.00167425	0.00159213	0.00116774	0.0007983	0.00123753	0.00187931	0.00135215	0.000978952	0.000273056	0.000864573	0.00142217	0.000684201	0.000901847	0.00110538	0.000839357	0.000524073	0.00158054	0.00106236	0.000699619	0.000747131	0.000133973	0.0018901	0.000690419	0.00145172	0.000669848	0.000844613	0.000642455	0.00164834	0.00204026	0.000599148	0.000726696	0.000991193	0.00157002	0.001799	0.00157192	0.000684282	0.00088572	0.000784446	0.000302175	0.00124988	0.00094589	0.000246908
PWY-5022: 4-aminobutanoate degradation V|unclassified	PWY-5022: 4-aminobutanoate degradation V|unclassified	0.00141807	0.00029699	0.000638975	0.00091722	0.000508727	0.000570923	0.00169681	0.00121962	0.000999091	0.000412519	0.00134464	0.000551094	0.000661938	0.00120161	0.000544852	0.000337539	0.000425783	0.00067489	0.000289774	0.000539706	0.000270954	0.000430694	0.000782045	0.000589439	0.00129443	0.000876963	0.000272789	0.00038001	0.000573832	0.000214635	0.000901847	0.000981157	0.000839357	0.000490851	0.000558568	0.00106236	0.000333536	0.00051494	0.000133973	0.0018901	0.000690419	0.0013805	0.000608499	0.0006704	0.000553206	0.000547472	0.000502871	0.000273058	0.000652924	0.00057084	0.00107865	0.000646425	0.000345496	0.000684282	0.000494195	0.000288208	0.000302175	0.000454705	0.000527246	0.000246908
PWY-5028: L-histidine degradation II	PWY-5028: L-histidine degradation II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22654E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.06063E-05
PWY-5028: L-histidine degradation II|unclassified	PWY-5028: L-histidine degradation II|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22604E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.06034E-05
PWY-5030: L-histidine degradation III	PWY-5030: L-histidine degradation III	0.00247378	0.00517896	0.00253117	0.00210888	0.00185049	0.00182223	0.00220956	0.000878858	0.00138773	0.00110472	0.0018112	0.00189914	0.00226073	0.00087427	0.00129948	0.00168023	0.00215834	0.00133093	0.00218868	0.00265514	0.00268241	0.00225549	0.00217674	0.00232091	0.000731384	0.00101618	0.00156902	0.00256395	0.00137809	0.00362335	0.00078104	0.00445651	0.00132614	0.00395267	0.00274718	0.000845422	0.00406302	0.00210167	0.00494972	0.00135163	0.00104604	0.00179403	0.00256201	0.00332884	0.00261281	0.00228384	0.00262092	0.00256946	0.000975082	0.00276125	0.00231122	0.00236803	0.00241723	0.00250293	0.00170056	0.00366851	0.00266273	0.00300673	0.0021647	0.00319335
PWY-5030: L-histidine degradation III|g__Bacteroides.s__Bacteroides_xylanisolvens	PWY-5030: L-histidine degradation III|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.33312E-05	0	0	3.09768E-05	0	0	0	2.01035E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.04196E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5030: L-histidine degradation III|unclassified	PWY-5030: L-histidine degradation III|unclassified	0.0024571	0.00517822	0.00231581	0.00206753	0.00176194	0.00178113	0.00217201	0.000842319	0.00125425	0.00107487	0.00175981	0.00177408	0.00222608	0.000848682	0.00125761	0.00165143	0.00210995	0.001304	0.00217494	0.00257306	0.00268079	0.00225334	0.00213702	0.0022841	0.000720497	0.000991725	0.00153617	0.00249506	0.00137548	0.00360895	0.000701447	0.0043265	0.00126905	0.00385946	0.0025865	0.000787022	0.00394501	0.00208189	0.00490306	0.00132763	0.000989257	0.00168924	0.00254855	0.00330681	0.00255596	0.00220714	0.00259549	0.00255743	0.000968786	0.00270264	0.00230978	0.00235898	0.00241068	0.00250088	0.00168795	0.00364617	0.00265798	0.0029986	0.00214143	0.00318289
PWY-5055: nicotinate degradation III	PWY-5055: nicotinate degradation III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.12806E-05	0	0	0	0	0.000026632	0	0	0	0	2.67426E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79172E-05	0	0	0	0	0	0	0	0	0	0	0	0.000040893
PWY-5055: nicotinate degradation III|unclassified	PWY-5055: nicotinate degradation III|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56481E-05	0	0	0	0	1.82379E-05	0	0	0	0	2.40544E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5088: L-glutamate degradation VIII (to propanoate)	PWY-5088: L-glutamate degradation VIII (to propanoate)	0.00010743	3.14236E-05	0	0	0.000450441	7.47334E-05	0	0	0	0.00046539	1.71861E-05	0.000192853	0	2.00292E-05	0.000332388	0.000196859	0.000176154	0.000646382	0.000174415	0.000184265	0.000331236	2.30439E-05	0.000121258	0.000235661	1.65212E-05	8.65099E-05	0	0.000213806	0.00037409	0.000180013	0	1.71461E-05	0	0	0.000244281	0	0	0	0	0	0	0	0	4.08924E-05	0	7.59449E-05	0.000399405	3.01945E-05	0	0.00010053	0.000106436	0.000255747	0.000129531	0	2.20911E-05	4.38042E-05	0	0	8.30284E-05	0
PWY-5088: L-glutamate degradation VIII (to propanoate)|unclassified	PWY-5088: L-glutamate degradation VIII (to propanoate)|unclassified	0	3.14233E-05	0	0	0	0.000022273	0	0	0	3.62566E-05	1.71851E-05	3.35485E-05	0	2.00047E-05	0	0	0	0	0	0	3.25928E-05	2.30403E-05	0	0	1.64976E-05	0	0	4.03367E-05	0	3.84027E-05	0	1.71451E-05	0	0	4.20563E-05	0	0	0	0	0	0	0	0	4.08919E-05	0	0	2.60044E-05	3.01928E-05	0	0.000100459	2.03318E-05	3.48897E-05	0	0	2.20699E-05	4.37263E-05	0	0	0	0
PWY-5097: L-lysine biosynthesis VI	PWY-5097: L-lysine biosynthesis VI	0.0076122	0.00666766	0.00906561	0.00999585	0.00488916	0.0081226	0.01008	0.0106055	0.00925479	0.0057179	0.00903803	0.00788685	0.00904873	0.00926049	0.00692743	0.00889641	0.00950802	0.00596422	0.00752144	0.00720919	0.00796244	0.00858168	0.00847834	0.00771079	0.00953064	0.00890362	0.010576	0.0086029	0.00676355	0.00850884	0.00792644	0.00729902	0.00992245	0.00708069	0.00557365	0.010394	0.00782684	0.00902688	0.00875303	0.00984515	0.00968137	0.00965648	0.0101715	0.00938766	0.00981813	0.00798963	0.00676745	0.0092472	0.0139374	0.00838032	0.00860698	0.00789203	0.00840966	0.0111558	0.0103569	0.00986832	0.0109031	0.00911468	0.00826189	0.0102943
PWY-5097: L-lysine biosynthesis VI|g__Acinetobacter.s__Acinetobacter_lwoffii	PWY-5097: L-lysine biosynthesis VI|g__Acinetobacter.s__Acinetobacter_lwoffii	0	0	0	0	1.64472E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000103449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000032249	0	0	2.54103E-05	0	0	0	2.87216E-05	0.000119775
PWY-5097: L-lysine biosynthesis VI|g__Anaerostipes.s__Anaerostipes_sp_494a	PWY-5097: L-lysine biosynthesis VI|g__Anaerostipes.s__Anaerostipes_sp_494a	0	0	0	0	0	0	0	0.00038576	0	0	0	0	0	2.10363E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000207245	0	0	0	0	7.02998E-05	0	0	0	0.000288409	4.96465E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Bacillaceae_unclassified.s__Bacillaceae_bacterium_EAG3	PWY-5097: L-lysine biosynthesis VI|g__Bacillaceae_unclassified.s__Bacillaceae_bacterium_EAG3	0	0	0	0	0	0	0	0	0	3.06817E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.89566E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Bacillus.s__Bacillus_sp_FJAT_27986	PWY-5097: L-lysine biosynthesis VI|g__Bacillus.s__Bacillus_sp_FJAT_27986	0	3.29294E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_xylanisolvens	PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.27697E-05	0	0	3.78516E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Bifidobacterium.s__Bifidobacterium_criceti	PWY-5097: L-lysine biosynthesis VI|g__Bifidobacterium.s__Bifidobacterium_criceti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.30328E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Bifidobacterium.s__Bifidobacterium_longum	PWY-5097: L-lysine biosynthesis VI|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Bifidobacterium.s__Bifidobacterium_merycicum	PWY-5097: L-lysine biosynthesis VI|g__Bifidobacterium.s__Bifidobacterium_merycicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000219849	0	0	0	0	9.89604E-05	0	0	0	0	0	0.000210304	0	0	0	0	0	0	0	0	0	0	0	0	9.19262E-05	0	0	0	5.88442E-05	3.21587E-05	0	0	0.000310207	0	0	4.23753E-05	0	0	0	0	0	0.000154596	4.75162E-05	0	0.000800238	0	0
PWY-5097: L-lysine biosynthesis VI|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	PWY-5097: L-lysine biosynthesis VI|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0.000273143	0	0.000712849	0.000281635	0.000295188	0.000837442	0.000133683	0.00034991	0.000316349	0	7.16381E-05	3.67401E-05	0	0.00034238	0	0	0	0	0	0	0	0	0.00009155	0	0.000293391	0	5.70031E-05	0	0	0.000124869	0.000636421	0.000292463	0.000844975	0	0	0.00202091	0.000113769	0	0	9.99546E-05	0.00186844	0.000175919	0	0	0	0	0	0	1.01985E-05	0	0	0	0	0	2.14623E-05	0	0	0.000197979	0	0
PWY-5097: L-lysine biosynthesis VI|g__Blautia.s__Blautia_sp_CAG_52	PWY-5097: L-lysine biosynthesis VI|g__Blautia.s__Blautia_sp_CAG_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57215E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Blautia.s__Ruminococcus_gnavus	PWY-5097: L-lysine biosynthesis VI|g__Blautia.s__Ruminococcus_gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00004294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Cellulosilyticum.s__Cellulosilyticum_lentocellum	PWY-5097: L-lysine biosynthesis VI|g__Cellulosilyticum.s__Cellulosilyticum_lentocellum	2.54641E-05	0	6.51896E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.48832E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Clostridium.s__Clostridium_bornimense	PWY-5097: L-lysine biosynthesis VI|g__Clostridium.s__Clostridium_bornimense	0	0	0	0	0	3.73871E-05	0	0.000070983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000194864	0	0	0	0	0.000159341	0	0	0	2.53365E-05	6.86942E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
